Klasa,acc,std(acc),prec,recall,F1
1,0.9953,0.0075,1,0.9524,0.9741
2,0.989,0.0148,0.9635,0.9417,0.9501
3,0.9938,0.008,0.9875,0.9548,0.9689
4,0.9906,0.011,0.9732,0.9429,0.956
5,0.9938,0.008,0.9764,0.9714,0.9721
6,0.9922,0.0082,0.9764,0.9524,0.9616
7,0.9985,0.0049,0.9889,1,0.9941
8,0.9906,0.0133,0.9818,0.9357,0.9532
9,0.9828,0.0188,0.9625,0.8905,0.9123
10,0.978,0.0199,0.9257,0.9089,0.9118
0,0.9904,0.0115,0.9736,0.9451,0.9554
